statusId|sensorName|[value-x,value-y,value-z]|timestamp
218|K6DS3TR Accelerometer|[0.36990416,0.142455,9.647436]|1566265862128
218|Samsung Linear Acceleration Sensor|[-0.0057911277,-0.002236396,-0.15094662]|1566265862128
218|K6DS3TR Gyroscope|[0.0043982267,0.03374419,-0.0074647735]|1566265862136
218|K6DS3TR Accelerometer|[0.24181437,-0.6931214,10.199299]|1566265862138
218|Samsung Linear Acceleration Sensor|[0.009908378,-0.028407335,0.41795063]|1566265862139
218|K6DS3TR Gyroscope|[0.008674284,-0.0010751262,-0.020903809]|1566265862147
218|K6DS3TR Accelerometer|[0.20829555,-0.7625532,9.998186]|1566265862149
218|Samsung Linear Acceleration Sensor|[0.0046292692,-0.016925156,0.22204494]|1566265862149
218|K6DS3TR Gyroscope|[0.0050090924,0.020916022,-0.018460346]|1566265862156
218|K6DS3TR Accelerometer|[0.5770026,-0.061052144,10.0748005]|1566265862158
218|Samsung Linear Acceleration Sensor|[0.016286016,-0.0017242134,0.28437328]|1566265862158
218|K6DS3TR Gyroscope|[0.009896014,0.0050335266,-0.011740831]|1566265862166
218|K6DS3TR Accelerometer|[0.40701428,-0.34955344,9.908403]|1566265862169
218|Samsung Linear Acceleration Sensor|[0.004765421,-0.0041022003,0.116098404]|1566265862169
218|K6DS3TR Gyroscope|[0.008063419,0.005644392,-0.012351695]|1566265862177
218|K6DS3TR Accelerometer|[0.51595044,-0.16639702,9.866506]|1566265862178
218|Samsung Linear Acceleration Sensor|[0.0038884878,-0.001281023,0.07462597]|1566265862178
218|K6DS3TR Gyroscope|[0.011728611,0.0019791983,-0.013573426]|1566265862186
218|K6DS3TR Accelerometer|[0.3196259,-0.5303157,9.696517]|1566265862188
218|Samsung Linear Acceleration Sensor|[-0.0029758215,0.004928291,-0.09019947]|1566265862188
218|K6DS3TR Gyroscope|[0.0050090924,-0.010848969,-0.012962561]|1566265862197
218|K6DS3TR Accelerometer|[0.49440265,-0.06943185,9.408015]|1566265862199
218|Samsung Linear Acceleration Sensor|[-0.020223439,0.0028433725,-0.38485622]|1566265862199
218|K6DS3TR Gyroscope|[-0.0017104261,0.023970347,-0.0105191]|1566265862206
218|K6DS3TR Accelerometer|[0.3184288,-0.051475335,9.481039]|1566265862208
218|Samsung Linear Acceleration Sensor|[-0.010756761,0.0017382316,-0.3199396]|1566265862208
218|K6DS3TR Gyroscope|[0.007452553,0.016639967,-0.017849483]|1566265862216
218|K6DS3TR Accelerometer|[0.25498247,-0.36152446,9.743204]|1566265862219
218|Samsung Linear Acceleration Sensor|[-0.0013951659,0.0019847453,-0.053352356]|1566265862219
218|K6DS3TR Gyroscope|[0.0068416875,0.016639967,-0.019682078]|1566265862227
218|K6DS3TR Accelerometer|[0.29568392,-0.40222588,9.773131]|1566265862229
218|Samsung Linear Acceleration Sensor|[-6.6646934E-4,8.915961E-4,-0.020747185]|1566265862228
218|K6DS3TR Gyroscope|[0.003787361,0.0032009296,-0.024569]|1566265862236
218|K6DS3TR Accelerometer|[0.4237737,0.076614454,9.731233]|1566265862238
218|Samsung Linear Acceleration Sensor|[-0.0028658807,-5.1514804E-4,-0.06582928]|1566265862238
218|K6DS3TR Gyroscope|[-0.0053756163,0.020916022,-0.018460346]|1566265862247
218|K6DS3TR Accelerometer|[0.22266077,-0.22266077,9.701305]|1566265862249
218|Samsung Linear Acceleration Sensor|[-0.0023064315,0.0022888482,-0.10018253]|1566265862249
218|K6DS3TR Gyroscope|[-0.007819079,-0.0022968575,-0.023958134]|1566265862256
218|K6DS3TR Accelerometer|[0.2681506,-0.33159694,9.785102]|1566265862258
218|Samsung Linear Acceleration Sensor|[-3.5181642E-4,4.5487285E-4,-0.012247086]|1566265862258
218|K6DS3TR Gyroscope|[-0.0029321574,0.0032009296,-0.02334727]|1566265862266
218|K6DS3TR Accelerometer|[0.25019407,-0.22984336,9.999383]|1566265862269
218|Samsung Linear Acceleration Sensor|[0.0049640685,-0.004561171,0.1983881]|1566265862269
218|K6DS3TR Gyroscope|[-0.011484269,0.008698717,-0.019682078]|1566265862277
218|K6DS3TR Accelerometer|[0.16879122,-0.037110128,9.635465]|1566265862278
218|Samsung Linear Acceleration Sensor|[-0.0029674768,6.4365193E-4,-0.16960812]|1566265862278
218|K6DS3TR Gyroscope|[0.0031764973,-0.0120707005,-0.026401596]|1566265862286
218|K6DS3TR Accelerometer|[0.19393034,-0.16400282,9.838972]|1566265862288
218|Samsung Linear Acceleration Sensor|[7.0264935E-4,-6.008446E-4,0.03558731]|1566265862288
218|K6DS3TR Gyroscope|[-0.011484269,0.006255258,-0.026401596]|1566265862297
218|K6DS3TR Accelerometer|[0.21906945,-0.30047232,9.636662]|1566265862299
218|Samsung Linear Acceleration Sensor|[-0.0037041605,0.0050991178,-0.16269493]|1566265862299
218|K6DS3TR Gyroscope|[0.0050090924,-0.005351182,-0.029455923]|1566265862306
218|K6DS3TR Accelerometer|[0.12928689,-0.25498247,9.672575]|1566265862308
218|Samsung Linear Acceleration Sensor|[-0.0017578155,0.003433168,-0.12979317]|1566265862308
218|K6DS3TR Gyroscope|[-0.0017104261,-0.0035185888,-0.027623326]|1566265862316
218|K6DS3TR Accelerometer|[0.22864626,-0.24540567,9.861717]|1566265862319
218|Samsung Linear Acceleration Sensor|[0.0014103204,-0.0015110224,0.060733795]|1566265862319
218|K6DS3TR Gyroscope|[0.0043982267,0.006255258,-0.026401596]|1566265862327
218|K6DS3TR Accelerometer|[0.18914193,-0.2861071,9.7324295]|1566265862329
218|Samsung Linear Acceleration Sensor|[-0.0013111383,0.0020191967,-0.06813717]|1566265862328
218|K6DS3TR Gyroscope|[0.014782937,0.004422661,-0.03739717]|1566265862336
218|K6DS3TR Accelerometer|[0.12689269,-0.038307227,9.674969]|1566265862338
218|Samsung Linear Acceleration Sensor|[-0.0017130077,5.097203E-4,-0.13076115]|1566265862339
218|K6DS3TR Gyroscope|[0.001954766,-0.004129451,-0.04228409]|1566265862347
218|K6DS3TR Accelerometer|[0.10295067,-0.18914193,9.66659]|1566265862349
218|Samsung Linear Acceleration Sensor|[-0.0014655814,0.0026942492,-0.1376276]|1566265862348
218|K6DS3TR Gyroscope|[-0.0029321574,-0.007183779,-0.030677652]|1566265862356
